time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
11232000.00000000,-10391273874.03972054,77096962458.00059509,-37519788104.71271515,-79740049545.39324951,-150088437900.08651733,99684841510.87902832,-16659716580.56702614,-21349324557.91404724,103114786593.83357239
11318400.00000000,-10507570313.91223335,76672319935.60852051,-36717135352.66304779,-79375779959.22860718,-149248412439.41040039,99661964437.53408813,-16959529726.85916328,-21721507496.19808578,102451650915.12884521
11404800.00000000,-10624787888.26142311,76241585507.66889954,-35907609085.93440247,-79006555126.71086121,-148397441322.97842407,99637980723.72969055,-17263376985.02771378,-22098544184.69044495,101782748362.20458984
11491200.00000000,-10742946514.16635704,75804650650.03814697,-35091133073.40696716,-78632286592.88619995,-147535322080.81295776,99612836815.48281860,-17571326892.94744110,-22480528569.22516632,101108056257.92402649
11577600.00000000,-10862066954.72553825,75361403244.93252563,-34267629535.51823807,-78252882533.43174744,-146661844181.67340088,99586475940.43572998,-17883450511.84271622,-22867559063.25910187,100427553595.08239746
11664000.00000000,-10982170863.26484680,74911727429.90405273,-33437019120.86205292,-77868247576.06475830,-145776788582.28573608,99558837862.75256348,-18199821560.67039871,-23259738847.61828995,99741221258.10937500
11750400.00000000,-11103280830.22371292,74455503439.57385254,-32599220883.99403000,-77478282609.64659119,-144879927243.55212402,99529858615.22947693,-18520516560.12970734,-23657176196.02170563,99049042268.76443481
11836800.00000000,-11225420432.89352608,73992607439.78288269,-31754152264.68280792,-77082884579.94506836,-143971022610.75457764,99499470206.09631348,-18845614987.16141510,-24059984829.02830124,98351002058.58638000
11923200.00000000,-11348614288.19320107,73522911353.81042480,-30901729068.87473679,-76681946270.91632080,-143049827054.44430542,99467600297.66191101,-19175199440.89049149,-24468284299.36611176,97647088771.21270752
12009600.00000000,-11472888108.67818260,73046282680.30255127,-30041865451.67061996,-76275356070.25251770,-142116082268.34588623,99434171853.58097839,-19509355821.06931686,-24882200411.95667267,96937293598.08952332
12096000.00000000,-11598268761.99095345,72562584302.54653931,-29174473902.64719391,-75862997717.81480408,-141169518620.19616699,99399102751.08946228,-19848173520.19425583,-25301865682.35039139,96221611151.55761719
12182400.00000000,-11724784333.97326660,72071674288.72219849,-28299465233.89326477,-75444750035.42837524,-140209854450.97647095,99362305354.05856323,-20191745630.59837341,-25727419837.74575806,95500039879.83459473
12268800.00000000,-11852464195.67277527,71573405682.75947571,-27416748571.17120361,-75020486636.35792542,-139236795317.47351074,99323686042.14225769,-20540169167.96931839,-26159010365.28598785,94772582529.02883911
12355200.00000000,-11981339074.48937225,71067626285.43247986,-26526231348.65881729,-74590075612.60438538,-138250033172.51226807,99283144690.62678528,-20893545312.90626907,-26596793112.92022324,94039246658.03192139
12441600.00000000,-12111441129.71925735,70554178425.32508850,-25627819307.77478409,-74153379197.96519470,-137249245476.53054810,99240574094.81535339,-21251979672.31558228,-27040932948.79455566,93300045212.95932007
